period,air_temperature
1,1.5
2,1.325
3,1.15
4,0.975
5,0.8
6,0.9
7,1.0
8,1.1
9,1.2
10,1.3
11,1.4
12,1.5
13,1.6
14,1.425
15,1.25
16,1.075
17,0.9
18,0.9
19,0.9
20,0.9
21,0.9
22,0.95
23,1.0
24,1.05
25,1.1
26,1.0
27,0.9
28,0.8
29,0.7
30,0.575
31,0.45
32,0.325
33,0.2
34,0.275
35,0.35
36,0.425
37,0.5
38,0.7
39,0.9
40,1.1
41,1.3
42,1.525
43,1.75
44,1.975
45,2.2
46,2.075
47,1.95
48,1.825
49,1.7
50,1.875
51,2.05
52,2.225
53,2.4
54,2.3
55,2.2
56,2.1
57,2.0
58,1.925
59,1.85
60,1.775
61,1.7
62,1.45
63,1.2
64,0.95
65,0.7
66,0.75
67,0.8
68,0.85
69,0.9
70,1.0
71,1.1
72,1.2
73,1.3
74,1.2
75,1.1
76,1.0
77,0.9
78,1.05
79,1.2
80,1.35
81,1.5
82,1.5
83,1.5
84,1.5
85,1.5
86,1.425
87,1.35
88,1.275
89,1.2
90,1.225
91,1.25
92,1.275
93,1.3
94,1.4
95,1.5
96,1.6
97,1.7
98,1.625
99,1.55
100,1.475
101,1.4
102,1.45
103,1.5
104,1.55
105,1.6
106,1.525
107,1.45
108,1.375
109,1.3
110,1.4
111,1.5
112,1.6
113,1.7
114,1.75
115,1.8
116,1.85
117,1.9
118,1.925
119,1.95
120,1.975
121,2.0
122,1.975
123,1.95
124,1.925
125,1.9
126,1.9
127,1.9
128,1.9
129,1.9
130,1.7
131,1.5
132,1.3
133,1.1
134,1.175
135,1.25
136,1.325
137,1.4
138,1.4
139,1.4
140,1.4
141,1.4
142,1.475
143,1.55
144,1.625
145,1.7
146,1.75
147,1.8
148,1.85
149,1.9
150,1.9
151,1.9
152,1.9
153,1.9
154,1.75
155,1.6
156,1.45
157,1.3
158,1.2
159,1.1
160,1.0
161,0.9
162,1.0
163,1.1
164,1.2
165,1.3
166,1.125
167,0.95
168,0.775
169,0.6
170,0.525
171,0.45
172,0.375
173,0.3
174,0.775
175,1.25
176,1.725
177,2.2
178,2.325
179,2.45
180,2.575
181,2.7
182,2.75
183,2.8
184,2.85
185,2.9
186,2.975
187,3.05
188,3.125
189,3.2
190,3.175
191,3.15
192,3.125
193,3.1
194,3.125
195,3.15
196,3.175
197,3.2
198,3.15
199,3.1
200,3.05
201,3.0
202,3.0
203,3.0
204,3.0
