period,air_temperature
1,3.5
2,3.45
3,3.4
4,3.35
5,3.3
6,3.225
7,3.15
8,3.075
9,3.0
10,2.85
11,2.7
12,2.55
13,2.4
14,2.375
15,2.35
16,2.325
17,2.3
18,2.275
19,2.25
20,2.225
21,2.2
22,2.275
23,2.35
24,2.425
25,2.5
26,2.35
27,2.2
28,2.05
29,1.9
30,2.025
31,2.15
32,2.275
33,2.4
34,2.325
35,2.25
36,2.175
37,2.1
38,2.2
39,2.3
40,2.4
41,2.5
42,2.45
43,2.4
44,2.35
45,2.3
46,2.225
47,2.15
48,2.075
49,2.0
50,2.05
51,2.1
52,2.15
53,2.2
54,2.225
55,2.25
56,2.275
57,2.3
58,2.35
59,2.4
60,2.45
61,2.5
62,2.375
63,2.25
64,2.125
65,2.0
66,1.9
67,1.8
68,1.7
69,1.6
70,1.75
71,1.9
72,2.05
73,2.2
74,2.2
75,2.2
76,2.2
77,2.2
78,2.35
79,2.5
80,2.65
81,2.8
82,2.65
83,2.5
84,2.35
85,2.2
86,2.25
87,2.3
88,2.35
89,2.4
90,2.375
91,2.35
92,2.325
93,2.3
94,2.275
95,2.25
96,2.225
97,2.2
98,2.025
99,1.85
100,1.675
101,1.5
102,1.575
103,1.65
104,1.725
105,1.8
106,1.85
107,1.9
108,1.95
109,2.0
110,1.95
111,1.9
112,1.85
113,1.8
114,1.625
115,1.45
116,1.275
117,1.1
118,1.225
119,1.35
120,1.475
121,1.6
122,1.525
123,1.45
124,1.375
125,1.3
126,1.425
127,1.55
128,1.675
129,1.8
130,1.65
131,1.5
132,1.35
133,1.2
134,1.075
135,0.95
136,0.825
137,0.7
138,0.9
139,1.1
140,1.3
141,1.5
142,1.575
143,1.65
144,1.725
145,1.8
146,1.875
147,1.95
148,2.025
149,2.1
150,2.05
151,2.0
152,1.95
153,1.9
154,1.85
155,1.8
156,1.75
157,1.7
158,1.675
159,1.65
160,1.625
161,1.6
162,1.725
163,1.85
164,1.975
165,2.1
166,1.875
167,1.65
168,1.425
169,1.2
170,1.15
171,1.1
172,1.05
173,1.0
174,1.025
175,1.05
176,1.075
177,1.1
178,0.95
179,0.8
180,0.65
181,0.5
182,0.425
183,0.35
184,0.275
185,0.2
186,0.475
187,0.75
188,1.025
189,1.3
190,1.15
191,1.0
192,0.85
193,0.7
194,0.9
195,1.1
196,1.3
197,1.5
198,1.45
199,1.4
200,1.35
201,1.3
202,1.375
203,1.45
204,1.525
205,1.6
206,1.675
207,1.75
208,1.825
209,1.9
210,1.9
211,1.9
212,1.9
213,1.9
214,1.775
215,1.65
216,1.525
217,1.4
218,1.525
219,1.65
220,1.775
221,1.9
222,1.825
223,1.75
224,1.675
225,1.6
226,1.6
227,1.6
228,1.6
229,1.6
230,1.65
231,1.7
232,1.75
233,1.8
234,1.825
235,1.85
236,1.875
237,1.9
238,1.975
239,2.05
240,2.125
241,2.2
242,2.15
243,2.1
244,2.05
245,2.0
246,2.125
247,2.25
248,2.375
249,2.5
250,2.25
251,2.0
252,1.75
253,1.5
254,1.65
255,1.8
256,1.95
257,2.1
258,1.9
259,1.7
260,1.5
261,1.3
262,1.4
263,1.5
264,1.6
265,1.7
266,1.525
267,1.35
268,1.175
269,1.0
270,1.15
271,1.3
272,1.45
273,1.6
274,1.475
275,1.35
276,1.225
277,1.1
278,1.325
279,1.55
280,1.775
281,2.0
282,1.85
283,1.7
284,1.55
285,1.4
286,1.45
287,1.5
288,1.55
289,1.6
290,1.55
291,1.5
292,1.45
293,1.4
294,1.3
295,1.2
296,1.1
297,1.0
298,1.25
299,1.5
300,1.75
301,2.0
302,1.875
303,1.75
304,1.625
305,1.5
306,1.275
307,1.05
308,0.825
309,0.6
310,0.75
311,0.9
312,1.05
313,1.2
314,1.2
315,1.2
316,1.2
317,1.2
318,1.075
319,0.95
320,0.825
321,0.7
322,0.7
323,0.7
324,0.7
325,0.7
326,0.725
327,0.75
328,0.775
329,0.8
330,0.95
331,1.1
332,1.25
333,1.4
334,1.075
335,0.75
336,0.425
337,0.1
338,0.05
339,0.0
340,-0.05
341,-0.1
342,-0.2
343,-0.3
344,-0.4
345,-0.5
346,-0.6
347,-0.7
348,-0.8
349,-0.9
350,-1.05
351,-1.2
352,-1.35
353,-1.5
354,-1.425
355,-1.35
356,-1.275
357,-1.2
358,-1.425
359,-1.65
360,-1.875
361,-2.1
362,-1.875
363,-1.65
364,-1.425
365,-1.2
366,-1.225
367,-1.25
368,-1.275
369,-1.3
370,-1.05
371,-0.8
372,-0.55
373,-0.3
374,-0.15
375,0.0
376,0.15
377,0.3
378,0.15
379,0.0
380,-0.15
381,-0.3
382,-0.5
383,-0.7
384,-0.9
385,-1.1
386,-0.875
387,-0.65
388,-0.425
389,-0.2
390,-0.1
391,0.0
392,0.1
393,0.2
394,0.425
395,0.65
396,0.875
397,1.1
398,1.125
399,1.15
400,1.175
401,1.2
402,1.25
403,1.3
404,1.35
405,1.4
406,1.1
407,0.8
408,0.5
409,0.2
410,0.7
411,1.2
412,1.7
413,2.2
414,1.85
415,1.5
416,1.15
417,0.8
418,1.025
419,1.25
420,1.475
421,1.7
422,1.35
423,1.0
424,0.65
425,0.3
426,0.55
427,0.8
428,1.05
429,1.3
430,1.325
431,1.35
432,1.375
433,1.4
434,1.475
435,1.55
436,1.625
437,1.7
438,1.75
439,1.8
440,1.85
441,1.9
442,1.825
443,1.75
444,1.675
445,1.6
446,1.625
447,1.65
448,1.675
449,1.7
450,1.7
451,1.7
452,1.7
453,1.7
454,1.55
455,1.4
456,1.25
457,1.1
458,0.65
459,0.2
460,-0.25
461,-0.7
462,-0.775
463,-0.85
464,-0.925
465,-1.0
466,-1.125
467,-1.25
468,-1.375
469,-1.5
470,-1.65
471,-1.8
472,-1.95
473,-2.1
474,-1.95
475,-1.8
476,-1.65
477,-1.5
478,-1.525
479,-1.55
480,-1.575
481,-1.6
482,-1.8
483,-2.0
484,-2.2
485,-2.4
486,-2.075
487,-1.75
488,-1.425
489,-1.1
490,-1.1
491,-1.1
492,-1.1
493,-1.1
494,-0.975
495,-0.85
496,-0.725
497,-0.6
498,-0.85
499,-1.1
500,-1.35
501,-1.6
502,-1.6
503,-1.6
504,-1.6
505,-1.6
506,-1.35
507,-1.1
508,-0.85
509,-0.6
510,-0.425
511,-0.25
512,-0.075
513,0.1
514,-0.025
515,-0.15
516,-0.275
517,-0.4
518,-0.525
519,-0.65
520,-0.775
521,-0.9
522,-1.075
523,-1.25
524,-1.425
525,-1.6
526,-1.55
527,-1.5
528,-1.45
529,-1.4
530,-1.3
531,-1.2
532,-1.1
533,-1.0
534,-0.8
535,-0.6
536,-0.4
537,-0.2
538,-0.725
539,-1.25
540,-1.775
541,-2.3
542,-2.25
543,-2.2
544,-2.15
545,-2.1
546,-2.275
547,-2.45
548,-2.625
549,-2.8
550,-2.625
551,-2.45
552,-2.275
553,-2.1
554,-1.825
555,-1.55
556,-1.275
557,-1.0
558,-1.125
559,-1.25
560,-1.375
561,-1.5
562,-1.75
563,-2.0
564,-2.25
565,-2.5
566,-2.15
567,-1.8
568,-1.45
569,-1.1
570,-0.8
571,-0.5
572,-0.2
573,0.1
574,0.05
575,0.0
576,-0.05
577,-0.1
578,-0.075
579,-0.05
580,-0.025
581,0.0
582,0.025
583,0.05
584,0.075
585,0.1
586,0.175
587,0.25
588,0.325
