period,air_temperature
1,-1.8
2,-1.8
3,-1.8
4,-1.8
5,-1.8
6,-1.8
7,-1.8
8,-1.8
9,-1.8
10,-1.8
11,-1.8
12,-1.8
13,-1.8
14,-1.8
15,-1.8
16,-1.8
17,-1.8
18,-1.8
19,-1.8
20,-1.8
21,-1.8
22,-1.8
23,-1.8
24,-1.8
25,-1.8
26,-1.8
27,-1.8
28,-1.8
29,-1.8
30,-1.8
31,-1.8
32,-1.8
33,-1.8
34,-1.8
35,-1.8
36,-1.8
37,-1.8
38,-1.755
39,-1.71
40,-1.666
41,-1.621
42,-1.576
43,-1.531
44,-1.486
45,-1.442
46,-1.397
47,-1.352
48,-1.307
49,-1.263
50,-1.218
51,-1.173
52,-1.128
53,-1.083
54,-1.039
55,-0.994
56,-0.949
57,-0.904
58,-0.859
59,-0.815
60,-0.77
61,-0.725
62,-0.68
63,-0.635
64,-0.591
65,-0.546
66,-0.501
67,-0.456
68,-0.411
69,-0.367
70,-0.322
71,-0.277
72,-0.232
73,-0.188
74,-0.143
75,-0.098
76,-0.053
77,-0.008
78,0.036
79,0.081
80,0.126
81,0.171
82,0.216
83,0.26
84,0.305
85,0.35
86,0.395
87,0.44
88,0.484
89,0.529
90,0.574
91,0.619
92,0.664
93,0.708
94,0.753
95,0.798
96,0.843
97,0.888
98,0.932
99,0.977
100,1.022
101,1.067
102,1.111
103,1.156
104,1.201
105,1.246
106,1.291
107,1.335
108,1.38
109,1.425
110,1.47
111,1.515
112,1.559
113,1.604
114,1.649
115,1.694
116,1.739
117,1.783
118,1.828
119,1.873
120,1.918
121,1.962
122,2.007
123,2.052
124,2.097
125,2.142
126,2.186
127,2.231
128,2.276
129,2.321
130,2.366
131,2.41
132,2.455
133,2.5
134,2.422
135,2.344
136,2.266
137,2.188
138,2.109
139,2.031
140,1.953
141,1.875
142,1.797
143,1.719
144,1.641
145,1.562
146,1.484
147,1.406
148,1.328
149,1.25
150,1.172
151,1.094
152,1.016
153,0.938
154,0.859
155,0.781
156,0.703
157,0.625
158,0.547
159,0.469
160,0.391
161,0.312
162,0.234
163,0.156
164,0.078
165,0.0
166,-0.078
167,-0.156
168,-0.234
169,-0.312
170,-0.391
171,-0.469
172,-0.547
173,-0.625
174,-0.703
175,-0.781
176,-0.859
177,-0.938
178,-1.016
179,-1.094
180,-1.172
181,-1.25
182,-1.328
183,-1.406
184,-1.484
185,-1.562
186,-1.641
187,-1.719
188,-1.797
189,-1.875
190,-1.953
191,-2.031
192,-2.109
193,-2.188
194,-2.266
195,-2.344
196,-2.422
197,-2.5
198,-2.578
199,-2.656
200,-2.734
201,-2.812
202,-2.891
203,-2.969
204,-3.047
205,-3.125
206,-3.203
207,-3.281
208,-3.359
209,-3.438
210,-3.516
211,-3.594
212,-3.672
213,-3.75
214,-3.828
215,-3.906
216,-3.984
217,-4.062
218,-4.141
219,-4.219
220,-4.297
221,-4.375
222,-4.453
223,-4.531
224,-4.609
225,-4.688
226,-4.766
227,-4.844
228,-4.922
229,-5.0
230,-4.97
231,-4.94
232,-4.909
233,-4.879
234,-4.849
235,-4.819
236,-4.789
237,-4.758
238,-4.728
239,-4.698
240,-4.668
241,-4.638
242,-4.607
243,-4.577
244,-4.547
245,-4.517
246,-4.486
247,-4.456
248,-4.426
249,-4.396
250,-4.366
251,-4.335
252,-4.305
253,-4.275
254,-4.245
255,-4.215
256,-4.184
257,-4.154
258,-4.124
259,-4.094
260,-4.064
261,-4.033
262,-4.003
263,-3.973
264,-3.943
265,-3.912
266,-3.882
267,-3.852
268,-3.822
269,-3.792
270,-3.761
271,-3.731
272,-3.701
273,-3.671
274,-3.641
275,-3.61
276,-3.58
277,-3.55
278,-3.52
279,-3.49
280,-3.459
281,-3.429
282,-3.399
283,-3.369
284,-3.339
285,-3.308
286,-3.278
287,-3.248
288,-3.218
289,-3.188
290,-3.157
291,-3.127
292,-3.097
293,-3.067
294,-3.036
295,-3.006
296,-2.976
297,-2.946
298,-2.916
299,-2.885
300,-2.855
301,-2.825
302,-2.795
303,-2.765
304,-2.734
305,-2.704
306,-2.674
307,-2.644
308,-2.614
309,-2.583
310,-2.553
311,-2.523
312,-2.493
313,-2.462
314,-2.432
315,-2.402
316,-2.372
317,-2.342
318,-2.311
319,-2.281
320,-2.251
321,-2.221
322,-2.191
323,-2.16
324,-2.13
325,-2.1
326,-2.124
327,-2.148
328,-2.172
329,-2.196
330,-2.22
331,-2.244
332,-2.268
333,-2.292
334,-2.316
335,-2.34
336,-2.364
337,-2.388
338,-2.411
339,-2.435
340,-2.459
341,-2.483
342,-2.507
343,-2.531
344,-2.555
345,-2.579
346,-2.603
347,-2.627
348,-2.651
349,-2.675
350,-2.699
351,-2.723
352,-2.747
353,-2.771
354,-2.795
355,-2.819
356,-2.843
357,-2.867
358,-2.891
359,-2.915
360,-2.939
361,-2.963
362,-2.986
363,-3.01
364,-3.034
365,-3.058
366,-3.082
367,-3.106
368,-3.13
369,-3.154
370,-3.178
371,-3.202
372,-3.226
373,-3.25
374,-3.274
375,-3.298
376,-3.322
377,-3.346
378,-3.37
379,-3.394
380,-3.418
381,-3.442
382,-3.466
383,-3.49
384,-3.514
385,-3.538
386,-3.561
387,-3.585
388,-3.609
389,-3.633
390,-3.657
391,-3.681
392,-3.705
393,-3.729
394,-3.753
395,-3.777
396,-3.801
397,-3.825
398,-3.849
399,-3.873
400,-3.897
401,-3.921
402,-3.945
403,-3.969
404,-3.993
405,-4.017
406,-4.041
407,-4.065
408,-4.089
409,-4.113
410,-4.136
411,-4.16
412,-4.184
413,-4.208
414,-4.232
415,-4.256
416,-4.28
417,-4.304
418,-4.328
419,-4.352
420,-4.376
421,-4.4
422,-4.353
423,-4.306
424,-4.259
425,-4.212
426,-4.166
427,-4.119
428,-4.072
429,-4.025
430,-3.978
431,-3.931
432,-3.884
433,-3.838
434,-3.791
435,-3.744
436,-3.697
437,-3.65
438,-3.603
439,-3.556
440,-3.509
441,-3.463
442,-3.416
443,-3.369
444,-3.322
445,-3.275
446,-3.228
447,-3.181
448,-3.134
449,-3.088
450,-3.041
451,-2.994
452,-2.947
453,-2.9
454,-2.853
455,-2.806
456,-2.759
457,-2.713
458,-2.666
459,-2.619
460,-2.572
461,-2.525
462,-2.478
463,-2.431
464,-2.384
465,-2.338
466,-2.291
467,-2.244
468,-2.197
469,-2.15
470,-2.103
471,-2.056
472,-2.009
473,-1.963
474,-1.916
475,-1.869
476,-1.822
477,-1.775
478,-1.728
479,-1.681
480,-1.634
481,-1.588
482,-1.541
483,-1.494
484,-1.447
485,-1.4
486,-1.353
487,-1.306
488,-1.259
489,-1.213
490,-1.166
491,-1.119
492,-1.072
493,-1.025
494,-0.978
495,-0.931
496,-0.884
497,-0.838
498,-0.791
499,-0.744
500,-0.697
501,-0.65
502,-0.603
503,-0.556
504,-0.509
505,-0.463
506,-0.416
507,-0.369
508,-0.322
509,-0.275
510,-0.228
511,-0.181
512,-0.134
513,-0.088
514,-0.041
515,0.006
516,0.053
517,0.1
518,0.027
519,-0.046
520,-0.119
521,-0.192
522,-0.265
523,-0.338
524,-0.41
525,-0.483
526,-0.556
527,-0.629
528,-0.702
529,-0.775
530,-0.848
531,-0.921
532,-0.994
533,-1.067
534,-1.14
535,-1.212
536,-1.285
537,-1.358
538,-1.431
539,-1.504
540,-1.577
541,-1.65
542,-1.723
543,-1.796
544,-1.869
545,-1.942
546,-2.015
547,-2.088
548,-2.16
549,-2.233
550,-2.306
551,-2.379
552,-2.452
553,-2.525
554,-2.598
555,-2.671
556,-2.744
557,-2.817
558,-2.89
559,-2.962
560,-3.035
561,-3.108
562,-3.181
563,-3.254
564,-3.327
565,-3.4
566,-3.473
567,-3.546
568,-3.619
569,-3.692
570,-3.765
571,-3.838
572,-3.91
573,-3.983
574,-4.056
575,-4.129
576,-4.202
577,-4.275
578,-4.348
579,-4.421
580,-4.494
581,-4.567
582,-4.64
583,-4.712
584,-4.785
585,-4.858
586,-4.931
587,-5.004
588,-5.077
589,-5.15
590,-5.223
591,-5.296
592,-5.369
593,-5.442
594,-5.515
595,-5.588
596,-5.66
597,-5.733
598,-5.806
599,-5.879
600,-5.952
601,-6.025
602,-6.098
603,-6.171
604,-6.244
605,-6.317
606,-6.39
607,-6.462
608,-6.535
609,-6.608
610,-6.681
611,-6.754
612,-6.827
613,-6.9
614,-6.905
615,-6.91
616,-6.916
617,-6.921
618,-6.926
619,-6.931
620,-6.936
621,-6.942
622,-6.947
623,-6.952
624,-6.957
625,-6.962
626,-6.968
627,-6.973
628,-6.978
629,-6.983
630,-6.989
631,-6.994
632,-6.999
633,-7.004
634,-7.009
635,-7.015
636,-7.02
637,-7.025
638,-7.03
639,-7.035
640,-7.041
641,-7.046
642,-7.051
643,-7.056
644,-7.061
645,-7.067
646,-7.072
647,-7.077
648,-7.082
649,-7.088
650,-7.093
651,-7.098
652,-7.103
653,-7.108
654,-7.114
655,-7.119
656,-7.124
657,-7.129
658,-7.134
659,-7.14
660,-7.145
661,-7.15
662,-7.155
663,-7.16
664,-7.166
665,-7.171
666,-7.176
667,-7.181
668,-7.186
669,-7.192
670,-7.197
671,-7.202
672,-7.207
673,-7.212
674,-7.218
675,-7.223
676,-7.228
677,-7.233
678,-7.239
679,-7.244
680,-7.249
681,-7.254
682,-7.259
683,-7.265
684,-7.27
685,-7.275
686,-7.28
687,-7.285
688,-7.291
689,-7.296
690,-7.301
691,-7.306
692,-7.311
693,-7.317
694,-7.322
695,-7.327
696,-7.332
697,-7.338
698,-7.343
699,-7.348
700,-7.353
701,-7.358
702,-7.364
703,-7.369
704,-7.374
705,-7.379
